variant	ticker	ymd	aligned_prev	atr14_pct	open_dev_pct	buys	sells	buy_notional	sell_notional	gross_pnl	net_pnl	max_deployed	ret_pct	r	mae_pct	exits
e5_atr2.5	230240	20260403	True	12.3204	42.1484	3	3	5049650.0000	5056450.0000	6800.0000	-8870.5750	1690748.2725	-0.5247	-0.0874	-3.7090	"{""tp"": 1, ""zone_exit"": 1, ""eod"": 1}"
e6_delay1	230240	20260403	True	12.3204	42.1484	4	4	6737750.0000	6722200.0000	-15550.0000	-36398.9275	1691598.8250	-2.1517	-0.3586	-2.8531	"{""tp"": 1, ""zone_exit"": 1, ""stop"": 1, ""eod"": 1}"
e7_delay2	230240	20260403	True	12.3204	42.1484	5	5	8430750.0000	8392500.0000	-38250.0000	-64291.6125	1701405.1950	-3.7787	-0.6298	-2.7299	"{""tp"": 1, ""zone_exit"": 1, ""stop"": 2, ""eod"": 1}"
e8_delay3	230240	20260403	True	12.3204	42.1484	3	3	5060350.0000	5083000.0000	22650.0000	6907.4225	1701405.1950	0.4060	0.0677	-2.5937	"{""tp"": 1, ""zone_exit"": 1, ""stop"": 1}"
e9_nostop	230240	20260403	True	12.3204	42.1484	3	3	5049650.0000	5056450.0000	6800.0000	-8870.5750	1690748.2725	-0.5247	-0.0874	-3.7090	"{""tp"": 1, ""zone_exit"": 1, ""eod"": 1}"
e0_base_stop2.5	019210	20260403	True	9.4102	12.1495	4	4	6789480.0000	6831440.0000	41960.0000	20809.8100	1703006.2350	1.2219	0.2037	-2.7894	"{""tp"": 2, ""stop"": 1, ""eod"": 1}"
e1_atr0.3	019210	20260403	True	9.4102	12.1495	4	4	6789480.0000	6831440.0000	41960.0000	20809.8100	1703006.2350	1.2219	0.2037	-2.7894	"{""tp"": 2, ""stop"": 1, ""eod"": 1}"
e2_atr0.5	019210	20260403	True	9.4102	12.1495	2	2	3387200.0000	3433380.0000	46180.0000	35566.5390	1696181.8020	2.0969	0.3495	-3.6262	"{""tp"": 1, ""eod"": 1}"
e3_atr1.5	019210	20260403	True	9.4102	12.1495	2	2	3387200.0000	3433380.0000	46180.0000	35566.5390	1696181.8020	2.0969	0.3495	-3.6262	"{""tp"": 1, ""eod"": 1}"
e4_atr2.0	019210	20260403	True	9.4102	12.1495	2	2	3387200.0000	3433380.0000	46180.0000	35566.5390	1696181.8020	2.0969	0.3495	-3.6262	"{""tp"": 1, ""eod"": 1}"
e5_atr2.5	019210	20260403	True	9.4102	12.1495	2	2	3387200.0000	3433380.0000	46180.0000	35566.5390	1696181.8020	2.0969	0.3495	-3.6262	"{""tp"": 1, ""eod"": 1}"
e6_delay1	019210	20260403	True	9.4102	12.1495	5	5	8490140.0000	8582100.0000	91960.0000	65415.2640	1703006.2350	3.8412	0.6402	-2.7894	"{""tp"": 3, ""stop"": 1, ""eod"": 1}"
e7_delay2	019210	20260403	True	9.4102	12.1495	3	3	5082240.0000	5101880.0000	19640.0000	3836.9380	1700304.4800	0.2257	0.0376	-2.7894	"{""tp"": 1, ""stop"": 1, ""eod"": 1}"
e8_delay3	019210	20260403	True	9.4102	12.1495	3	3	5093200.0000	5111640.0000	18440.0000	2605.9020	1701785.4420	0.1531	0.0255	-2.7894	"{""tp"": 1, ""stop"": 1, ""eod"": 1}"
e9_nostop	019210	20260403	True	9.4102	12.1495	2	2	3387200.0000	3433380.0000	46180.0000	35566.5390	1696181.8020	2.0969	0.3495	-3.6262	"{""tp"": 1, ""eod"": 1}"
e0_base_stop2.5	137950	20260403	True	14.6548	25.4757	6	6	10201600.0000	10320620.0000	119020.0000	87103.4410	1702465.8840	5.1163	0.8527	-3.2534	"{""tp"": 3, ""zone_exit"": 1, ""stop"": 1, ""eod"": 1}"
e1_atr0.3	137950	20260403	True	14.6548	25.4757	7	7	11904060.0000	12036560.0000	132500.0000	95272.7890	1704767.3790	5.5886	0.9314	-3.7671	"{""tp"": 4, ""zone_exit"": 1, ""stop"": 1, ""eod"": 1}"
e2_atr0.5	137950	20260403	True	14.6548	25.4757	7	7	11905420.0000	12015110.0000	109690.0000	72514.4575	1704387.1320	4.2546	0.7091	-5.6507	"{""tp"": 4, ""zone_exit"": 1, ""stop"": 1, ""eod"": 1}"
e3_atr1.5	137950	20260403	True	14.6548	25.4757	5	5	8500240.0000	8595830.0000	95590.0000	69005.0605	1702265.7540	4.0537	0.6756	-7.1918	"{""tp"": 3, ""zone_exit"": 1, ""eod"": 1}"
e4_atr2.0	137950	20260403	True	14.6548	25.4757	5	5	8500240.0000	8595830.0000	95590.0000	69005.0605	1702265.7540	4.0537	0.6756	-7.1918	"{""tp"": 3, ""zone_exit"": 1, ""eod"": 1}"
e5_atr2.5	137950	20260403	True	14.6548	25.4757	5	5	8500240.0000	8595830.0000	95590.0000	69005.0605	1702265.7540	4.0537	0.6756	-7.1918	"{""tp"": 3, ""zone_exit"": 1, ""eod"": 1}"
e6_delay1	137950	20260403	True	14.6548	25.4757	7	7	11908020.0000	11983890.0000	75870.0000	38769.2565	1705527.8730	2.2732	0.3789	-3.8194	"{""tp"": 2, ""stop"": 2, ""zone_exit"": 2, ""eod"": 1}"
e7_delay2	137950	20260403	True	14.6548	25.4757	6	6	10206960.0000	10252610.0000	45650.0000	13896.5815	1705527.8730	0.8148	0.1358	-3.8194	"{""tp"": 3, ""stop"": 2, ""eod"": 1}"
e8_delay3	137950	20260403	True	14.6548	25.4757	3	3	5107550.0000	5183990.0000	76440.0000	60419.3170	1704767.3790	3.5441	0.5907	-2.8319	"{""tp"": 2, ""eod"": 1}"
e9_nostop	137950	20260403	True	14.6548	25.4757	5	5	8500240.0000	8595830.0000	95590.0000	69005.0605	1702265.7540	4.0537	0.6756	-7.1918	"{""tp"": 3, ""zone_exit"": 1, ""eod"": 1}"
e0_base_stop2.5	389260	20260403	True	10.7987	13.6281	10	10	16901400.0000	17100100.0000	198700.0000	145818.8450	1697702.7900	8.5892	1.4315	-3.1776	"{""tp"": 6, ""stop"": 3, ""eod"": 1}"
e1_atr0.3	389260	20260403	True	10.7987	13.6281	9	9	15214650.0000	15458850.0000	244200.0000	196436.2950	1697702.7900	11.5707	1.9285	-3.1776	"{""tp"": 6, ""stop"": 2, ""eod"": 1}"
