variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
w_take1.0_stop3.0_atr4.5_dev-1.0	202606	7	10	8	-0.0452	-2.0442	0.4286	20563300.0000	14542981.1200	-1900.0000	-39424.3250	37524.3250	1.4140	19.7496
w_take1.0_stop3.0_atr4.5_dev-1.0	202608	21	32	17	0.0505	-1.3609	0.4762	67165750.0000	43822972.4600	221000.0000	136530.5750	84469.4250	1.5327	0.3822
w_take1.0_stop3.0_atr4.5_dev-1.0	202609	50	82	59	0.1341	-1.1062	0.6600	173437500.0000	106307493.7325	1149000.0000	860335.1300	288664.8700	1.6315	0.2512
w_take1.0_stop3.0_atr4.5_dev-3.0	202509	64	89	49	0.0598	-0.9109	0.5000	186179320.0000	134021120.1530	726350.0000	486706.4925	239643.5075	1.3892	0.3299
w_take1.0_stop3.0_atr4.5_dev-3.0	202510	91	136	99	0.0777	-1.1443	0.6703	284430070.0000	192405976.5680	1378150.0000	897901.0285	480248.9715	1.4783	0.3485
w_take1.0_stop3.0_atr4.5_dev-3.0	202511	91	133	83	0.0905	-0.9294	0.6154	282573580.0000	194345097.3925	1470800.0000	1060918.1310	409881.8690	1.4540	0.2787
w_take1.0_stop3.0_atr4.5_dev-3.0	202512	135	185	102	0.0474	-0.9542	0.4963	387085490.0000	283601713.8770	1347580.0000	853819.9460	493760.0540	1.3649	0.3664
w_take1.0_stop3.0_atr4.5_dev-3.0	202601	130	223	165	0.1161	-0.8897	0.6769	466470950.0000	273208925.1925	2718150.0000	1921259.2725	796890.7275	1.7074	0.2932
w_take1.0_stop3.0_atr4.5_dev-3.0	202602	69	115	81	0.0711	-1.1589	0.5942	242880490.0000	145870127.2375	1026610.0000	630041.8675	396568.1325	1.6650	0.3863
w_take1.0_stop3.0_atr4.5_dev-3.0	202603	15	23	18	-0.1671	-3.1804	0.3333	48326420.0000	31812591.1730	-232500.0000	-318962.4350	86462.4350	1.5191	0.3719
w_take1.0_stop3.0_atr4.5_dev-3.0	202604	40	59	39	0.0332	-1.1298	0.5000	123585930.0000	83629752.5815	390730.0000	200790.1865	189939.8135	1.4778	0.4861
w_take1.0_stop3.0_atr4.5_dev-3.0	202605	36	62	50	0.0935	-1.3884	0.6389	129973450.0000	77001248.4550	669100.0000	426203.5250	242896.4750	1.6879	0.3630
w_take1.0_stop3.0_atr4.5_dev-3.0	202606	8	11	8	-0.0396	-2.4255	0.3750	22562000.0000	16541980.9250	-1900.0000	-39424.3250	37524.3250	1.3639	19.7496
w_take1.0_stop3.0_atr4.5_dev-3.0	202608	23	37	20	0.0655	-1.3609	0.4783	77485550.0000	48038404.6800	291000.0000	192338.5750	98661.4250	1.6130	0.3390
w_take1.0_stop3.0_atr4.5_dev-3.0	202609	53	87	63	0.1254	-1.0933	0.6415	183042100.0000	111887930.6725	1159200.0000	851895.6200	307304.3800	1.6359	0.2651
w_take1.0_stop3.0_atr4.5_dev0.0	202509	58	76	38	0.0646	-0.9109	0.4828	158716270.0000	121374023.3730	659500.0000	473551.2350	185948.7650	1.3077	0.2820
w_take1.0_stop3.0_atr4.5_dev0.0	202510	82	118	82	0.0599	-1.1604	0.5854	246174680.0000	172900161.1345	1020800.0000	624242.3350	396557.6650	1.4238	0.3885
w_take1.0_stop3.0_atr4.5_dev0.0	202511	81	118	75	0.0972	-0.8065	0.6296	250805280.0000	173136416.5675	1387710.0000	1016725.5495	370984.4505	1.4486	0.2673
w_take1.0_stop3.0_atr4.5_dev0.0	202512	121	167	90	0.0777	-0.8902	0.5124	350140630.0000	254579491.1965	1635020.0000	1195970.4280	439049.5720	1.3754	0.2685
w_take1.0_stop3.0_atr4.5_dev0.0	202601	123	215	159	0.1304	-0.8715	0.6992	449941400.0000	258736854.7075	2815400.0000	2045209.8400	770190.1600	1.7390	0.2736
w_take1.0_stop3.0_atr4.5_dev0.0	202602	66	108	74	0.0718	-1.1392	0.6061	228009190.0000	139501972.1575	969810.0000	607930.9175	361879.0825	1.6345	0.3731
w_take1.0_stop3.0_atr4.5_dev0.0	202603	11	17	15	-0.1776	-3.2168	0.3636	35361900.0000	23157773.1450	-175000.0000	-247105.2600	72105.2600	1.5270	0.4120
w_take1.0_stop3.0_atr4.5_dev0.0	202604	37	56	37	0.0492	-0.9960	0.4865	118262430.0000	78097822.9165	416730.0000	234365.6865	182364.3135	1.5143	0.4376
w_take1.0_stop3.0_atr4.5_dev0.0	202605	34	59	47	0.1116	-1.3884	0.6471	123580750.0000	72762512.7400	705350.0000	477078.7975	228271.2025	1.6984	0.3236
w_take1.0_stop3.0_atr4.5_dev0.0	202606	7	10	8	-0.0452	-2.0442	0.4286	20563300.0000	14542981.1200	-1900.0000	-39424.3250	37524.3250	1.4140	19.7496
w_take1.0_stop3.0_atr4.5_dev0.0	202608	19	26	13	0.0222	-1.6204	0.4211	54192400.0000	39492522.9900	118000.0000	53660.7100	64339.2900	1.3722	0.5452
w_take1.0_stop3.0_atr4.5_dev0.0	202609	49	80	57	0.1301	-1.0933	0.6327	169337500.0000	104227181.7325	1099000.0000	819872.6300	279127.3700	1.6247	0.2540
w_take1.0_stop3.0_atr5.0_dev-1.0	202509	71	99	54	0.0565	-1.0017	0.4930	207112620.0000	148686719.6630	772750.0000	508259.4225	264490.5775	1.3929	0.3423
w_take1.0_stop3.0_atr5.0_dev-1.0	202510	96	147	105	0.0875	-1.1604	0.6667	308239800.0000	203218308.1745	1583400.0000	1072493.0770	510906.9230	1.5168	0.3227
