variant	atr_max	dev_lo	dev_hi	days	buys	gross_pct	net_pct	net_per_buy	months_pos	months
trail_arm1.0_t1.0	4	-99	5	659	686	-0.08321258218240882	-0.31303367513071667	-6604.413682215744	2	12
trail_arm1.0_t1.0	3	-5	99	350	356	-0.08542297550672749	-0.31523931610938805	-6716.30433005618	1	10
trail_arm1.0_t1.0	3	-99	99	350	356	-0.08542297550672749	-0.31523931610938805	-6716.30433005618	1	10
trail_arm1.0_t1.0	3	-3	99	350	356	-0.08542297550672749	-0.31523931610938805	-6716.30433005618	1	10
trail_arm1.0_t1.0	3	-8	99	350	356	-0.08542297550672749	-0.31523931610938805	-6716.30433005618	1	10
trail_arm1.0_t1.0	5	-3	5	985	1036	-0.08635661404215333	-0.31617094732196277	-6616.892793243244	2	13
trail_arm1.0_t1.0	5	-1	5	931	975	-0.08811595134096264	-0.31792650204557954	-6661.572502358974	2	13
trail_arm1.0_t1.0	3	-1	99	336	342	-0.08917097928022863	-0.3189792616747761	-6796.403362573099	1	10
trail_arm1.0_t1.0	4	-5	99	815	844	-0.08961031335999946	-0.31941765118627546	-6738.54550592417	1	12
trail_arm1.0_t1.0	4	-8	99	815	844	-0.08961031335999946	-0.31941765118627546	-6738.54550592417	1	12
trail_arm1.0_t1.0	5	-3	99	1303	1366	-0.08992438027166126	-0.3197310428540772	-6692.3137800878485	1	13
trail_arm1.0_t1.0	4	-1	99	782	807	-0.08994497798349826	-0.31975159628083377	-6755.498083023544	2	12
trail_arm1.0_t1.0	3	-3	5	302	308	-0.09010822958918241	-0.31991449689556567	-6812.495493506494	1	10
trail_arm1.0_t1.0	3	-5	5	302	308	-0.09010822958918241	-0.31991449689556567	-6812.495493506494	1	10
trail_arm1.0_t1.0	3	-8	5	302	308	-0.09010822958918241	-0.31991449689556567	-6812.495493506494	1	10
trail_arm1.0_t1.0	3	-99	5	302	308	-0.09010822958918241	-0.31991449689556567	-6812.495493506494	1	10
trail_arm1.0_t1.0	4	-99	99	816	845	-0.09019166941400927	-0.3199977573247692	-6750.977008284024	1	12
trail_arm1.0_t1.0	5	0	5	856	891	-0.09087943208801817	-0.3206840413090289	-6725.441976206509	2	13
trail_arm1.0_t1.0	5	-1	99	1249	1305	-0.0914024555550611	-0.3212059402756177	-6729.220597394636	1	13
trail_arm1.0_t1.0	4	-3	5	654	679	-0.0920277925244063	-0.32182993277047883	-6798.785303387334	2	12
trail_arm1.0_t1.0	5	0	99	1174	1221	-0.09364369948942723	-0.32344236553552497	-6780.481974283374	2	13
trail_arm1.0_t1.0	4	0	5	582	599	-0.09429120916794553	-0.32408848306823446	-6846.9477487479135	3	12
trail_arm1.0_t1.0	5	-3	2	452	489	-0.09730383475348096	-0.327094631508761	-6851.161406952966	1	13
trail_arm1.0_t1.0	4	-3	99	811	838	-0.09738737463778359	-0.3271779917823124	-6909.693325775656	1	12
trail_arm1.0_t1.0	4	0	99	739	758	-0.09974216382357909	-0.3295277181713584	-6959.458426781002	2	12
trail_arm1.0_t1.0	3	0	99	314	317	-0.10213081260094067	-0.3319112313538487	-7074.451160883281	1	10
trail_arm1.0_t1.0	5	-1	2	398	428	-0.10282670663250945	-0.33260562921324954	-6986.332205607477	1	13
trail_arm1.0_t1.0	5	0	2	323	344	-0.11349080358266977	-0.343246798354967	-7231.06335755814	0	13
