tp_close	band	res	stop	period	main	holdout	n	n_days	n_months	gate_r	base_r	excess_tw	excess_mw	excess_r	t	p	beat	mae_med	mae_p25	mae_p75	mdd_pct	hold_mean	turnover_yr	cost_share	tp_rate	stop_rate	trunc_rate	q_bh
True	5~35	off	2.5	2026now	False	False	12481	145	9	-0.0745	-0.0827	0.0082	0.0080	0.0260	0.8813	0.4038	0.6667	-3.5514	-5.8442	-1.8816	-4.3946	1.2210	206.3923	0.0928	0.3162	0.6819	0.0000	
True	5~35	off	2.5	all4	False	False	66471	884	46	-0.0977	-0.0755	-0.0222	-0.0271	-0.0134	-1.6569	0.1045	0.3478	-3.2609	-5.0000	-1.7493		1.3543		0.0993	0.3388	0.6601		
True	5~35	off	6	2020covid	False	False	23720	248	12	-0.0932	-0.0484	-0.0448	-0.0634	-0.0378	-1.9263	0.0803	0.2500	-4.1096	-6.9007	-1.6946	-7.9927	2.3878	105.5358	0.0643	0.6172	0.3808	0.0000	
True	5~35	off	6	2022bear	False	True	13785	246	12	-0.1809	-0.1386	-0.0423	-0.0506	-0.0216	-0.9422	0.3663	0.5000	-4.3991	-7.1429	-1.6766	-11.8176	2.6233	96.0627	0.0661	0.5802	0.4157	0.0000	
True	5~35	off	6	2024blackmon	False	False	16485	245	13	-0.1415	-0.1087	-0.0327	-0.0412	-0.0188	-1.0244	0.3259	0.3846	-4.3478	-7.0838	-1.7995	-11.0887	2.2934	109.8826	0.0646	0.5900	0.4053	0.0000	
True	5~35	off	6	2026now	False	False	12481	145	9	-0.0648	-0.1029	0.0382	-0.0302	-0.0079	-0.2371	0.8185	0.5556	-4.4524	-7.4672	-1.8816	-6.0372	1.7878	140.9524	0.0592	0.5947	0.4034	0.0000	
True	5~35	off	6	all4	False	False	66471	884	46	-0.1180	-0.0992	-0.0188	-0.0473	-0.0223	-2.0068	0.0508	0.4130	-4.3000	-7.0845	-1.7493		2.3006		0.0637	0.5985	0.3984		
True	5~35	on	none	2020covid	False	False	12644	245	12	-0.0408	-0.0229	-0.0179	-0.1021	-0.0333	-0.8101	0.4351	0.3333	-4.0000	-9.6224	-1.6509	-11.7893	6.4224	39.2376	0.0515	0.8306	0.0000	0.0000	
True	5~35	on	none	2022bear	False	True	5076	246	12	-0.3092	-0.2241	-0.0850	-0.1348	-0.0541	-0.7954	0.4432	0.4167	-4.1376	-11.2566	-1.5723	-21.6202	7.4736	33.7187	0.0457	0.7593	0.0000	0.0000	
True	5~35	on	none	2024blackmon	False	False	8346	245	13	-0.1282	-0.1377	0.0094	0.0125	0.0586	1.5319	0.1515	0.6923	-4.0978	-10.3052	-1.6618	-10.0065	6.7920	37.1025	0.0505	0.7936	0.0000	0.0000	
True	5~35	on	none	2026now	False	False	8296	145	9	0.0412	-0.1371	0.1783	-0.0077	0.0912	1.0584	0.3208	0.7778	-4.1983	-10.0925	-1.7286	-11.2583	5.2463	48.0342	0.0449	0.8674	0.0000	0.0001	
True	5~35	on	none	all4	False	False	34362	881	46	-0.0819	-0.1294	0.0476	-0.0598	0.0116	0.3976	0.6928	0.5435	-4.0874	-10.0648	-1.6593		6.3835		0.0486	0.8199	0.0000		
True	5~35	on	2.5	2020covid	False	False	12644	245	12	-0.0772	-0.0571	-0.0201	-0.0348	-0.0105	-1.1236	0.2851	0.3333	-3.1083	-4.5633	-1.6509	-6.1292	1.3803	182.5744	0.0985	0.3606	0.6394	0.0000	
