tp_close	band	res	stop	period	main	holdout	n	n_days	n_months	gate_r	base_r	excess_tw	excess_mw	excess_r	t	p	beat	mae_med	mae_p25	mae_p75	mdd_pct	hold_mean	turnover_yr	cost_share	tp_rate	stop_rate	trunc_rate	q_bh
False	5~15	on	none	2024blackmon	False	False	5387	244	13	-0.1432	-0.1374	-0.0058	0.0071	0.0430	1.1404	0.2764	0.6154	-3.9702	-10.2388	-1.5681	-10.6007	7.4943	33.6254	0.0596	0.7726	0.0000	0.0000	
False	5~15	on	none	2026now	False	False	4423	144	9	-0.0085	-0.1462	0.1377	0.0048	0.0761	0.8919	0.3985	0.6667	-3.7422	-9.1129	-1.4943	-10.5206	5.3455	47.1427	0.0625	0.8689	0.0000	0.0000	
False	5~15	on	none	all4	False	False	20813	870	46	-0.1163	-0.1249	0.0086	-0.0697	0.0031	0.1076	0.9148	0.5217	-3.8700	-9.7879	-1.5460		6.9527		0.0595	0.8021	0.0000		0.9148
False	5~15	on	2.5	2020covid	False	False	7692	238	12	-0.1284	-0.1191	-0.0093	-0.0215	-0.0095	-1.1032	0.2935	0.2500	-2.9605	-4.2302	-1.5444	-9.4419	1.4986	168.1603	0.1137	0.3778	0.6222	0.0000	
False	5~15	on	2.5	2022bear	False	True	3311	244	12	-0.1334	-0.1145	-0.0189	-0.0294	-0.0126	-1.0153	0.3318	0.5000	-2.9283	-4.3174	-1.5504	-9.2544	1.7768	141.8276	0.1143	0.3700	0.6291	0.0000	
False	5~15	on	2.5	2024blackmon	False	False	5387	244	13	-0.1364	-0.1230	-0.0135	-0.0251	-0.0128	-1.1306	0.2803	0.3846	-3.0097	-4.3378	-1.5681	-10.4673	1.6590	151.8993	0.1153	0.3624	0.6313	0.0000	
False	5~15	on	2.5	2026now	False	False	4423	144	9	-0.1258	-0.1670	0.0411	0.0574	0.0724	1.3208	0.2231	0.5556	-3.1250	-4.8551	-1.4943	-7.0613	1.3518	186.4185	0.1148	0.3758	0.6224	0.0000	
False	5~15	on	2.5	all4	False	False	20813	870	46	-0.1307	-0.1267	-0.0040	-0.0091	0.0048	0.3863	0.7011	0.4130	-2.9940	-4.3689	-1.5460		1.5532		0.1144	0.3721	0.6257		0.7890
False	5~15	on	6	2020covid	False	False	7692	238	12	-0.1132	-0.1058	-0.0074	-0.0367	-0.0079	-0.3081	0.7637	0.4167	-3.8486	-6.6850	-1.5444	-9.8023	2.8764	87.6106	0.0746	0.6309	0.3666	0.0000	
False	5~15	on	6	2022bear	False	True	3311	244	12	-0.1336	-0.1498	0.0161	-0.0003	0.0323	1.8031	0.0988	0.6667	-4.0323	-6.8001	-1.5504	-8.7384	3.4213	73.6557	0.0744	0.6110	0.3821	0.0000	
False	5~15	on	6	2024blackmon	False	False	5387	244	13	-0.1443	-0.1425	-0.0019	-0.0267	0.0002	0.0101	0.9921	0.4615	-3.9702	-6.8237	-1.5681	-11.5089	3.0689	82.1149	0.0742	0.6020	0.3869	0.0000	
False	5~15	on	6	2026now	False	False	4423	144	9	-0.0926	-0.1731	0.0805	0.0222	0.0621	1.2945	0.2316	0.6667	-3.7422	-7.0022	-1.4943	-7.6114	2.1056	119.6817	0.0755	0.6430	0.3550	0.0000	
False	5~15	on	6	all4	False	False	20813	870	46	-0.1201	-0.1392	0.0191	-0.0129	0.0186	1.3774	0.1752	0.5435	-3.8700	-6.7816	-1.5460		2.8491		0.0747	0.6228	0.3718		0.3854
True	5~35	off	none	2020covid	False	False	24327	248	12	-0.0505	-0.0229	-0.0276	-0.0840	-0.0338	-0.9356	0.3696	0.3333	-4.1860	-9.8039	-1.7324	-9.6200	6.1390	41.0489	0.0513	0.8371	0.0000	0.0000	
